,Media,Year,IMDB,Votes,Restriction,Genre1,Genre2,Genre3,Type
470,The Silence of the Lambs,   1 9 9 1  ,8.6,1245696,R,Crime,Drama,Thriller            ,Movie
471,Inglourious Basterds,   2 0 0 9  ,8.3,1240302,R,Adventure,Drama,War            ,Movie
472,Saving Private Ryan,   1 9 9 8  ,8.6,1213448,R,Drama,War            ,,Movie
473,Star Wars: Episode IV - A New Hope,   1 9 7 7  ,8.6,1211607,PG,Action,Adventure,Fantasy            ,Movie
474,Schindler's List,   1 9 9 3  ,8.9,1192410,R,Biography,Drama,History            ,Movie
475,The Departed,   2 0 0 6  ,8.5,1168367,R,Crime,Drama,Thriller            ,Movie
476,The Prestige,   2 0 0 6  ,8.5,1166030,PG-13,Drama,Mystery,Sci-Fi            ,Movie
477,The Wolf of Wall Street,   2 0 1 3  ,8.2,1153560,R,Biography,Crime,Drama            ,Movie
478,Star Wars: Episode V - The Empire Strikes Back,   1 9 8 0  ,8.7,1139862,PG,Action,Adventure,Fantasy            ,Movie
479,The Green Mile,   1 9 9 9  ,8.6,1123080,R,Crime,Drama,Fantasy            ,Movie
480,Memento,   2 0 0 0  ,8.4,1107818,R,Mystery,Thriller            ,,Movie
481,The Godfather: Part II,   1 9 7 4  ,9,1107868,R,Crime,Drama            ,,Movie
482,Avatar,   2 0 0 9  ,7.8,1106231,PG-13,Action,Adventure,Fantasy            ,Movie
483,Shutter Island,   2 0 1 0  ,8.2,1106162,R,Mystery,Thriller            ,,Movie
484,American Beauty,   1 9 9 9  ,8.3,1055121,R,Drama            ,,,Movie
485,Back to the Future,   1 9 8 5  ,8.5,1036912,PG,Adventure,Comedy,Sci-Fi            ,Movie
486,Titanic,   1 9 9 7  ,7.8,1029275,PG-13,Drama,Romance            ,,Movie
487,Guardians of the Galaxy,   2 0 1 4  ,8,1029214,PG-13,Action,Adventure,Comedy            ,Movie
488,American History X,   1 9 9 8  ,8.5,1020440,R,Drama            ,,,Movie
489,V for Vendetta,   2 0 0 5  ,8.2,1016263,R,Action,Drama,Sci-Fi            ,Movie
490,Léon: The Professional,   1 9 9 4  ,8.5,1015947,R,Action,Crime,Drama            ,Movie
491,Pirates of the Caribbean: The Curse of the Black Pearl,   2 0 0 3  ,8,1005246,PG-13,Action,Adventure,Fantasy            ,Movie
492,Goodfellas,   1 9 9 0  ,8.7,1000216,R,Biography,Crime,Drama            ,Movie
493,Kill Bill: Vol. 1,   2 0 0 3  ,8.1,984369,R,Action,Crime,Thriller            ,Movie
494,WALL·E,   2 0 0 8  ,8.4,981770,G,Animation,Adventure,Family            ,Movie
495,Terminator 2: Judgment Day,   1 9 9 1  ,8.5,981465,R,Action,Sci-Fi            ,,Movie
496,The Usual Suspects,   1 9 9 5  ,8.5,975780,R,Crime,Mystery,Thriller            ,Movie
497,Braveheart,   1 9 9 5  ,8.3,946814,R,Biography,Drama,History            ,Movie
498,Star Wars: Episode VI - Return of the Jedi,   1 9 8 3  ,8.3,934272,PG,Action,Adventure,Fantasy            ,Movie
499,Finding Nemo,   2 0 0 3  ,8.1,934202,G,Animation,Adventure,Comedy            ,Movie
